anxious,vision_problem
I am blind,vision_problem
I can not see when reading,vision_problem
Unable to see,vision_problem
vision troubles,vision_problem
light sensitivity,vision_problem
feeling anxious ,vision_problem
eye problems,vision_problem
not good,vision_problem
unhealthy eyes,vision_problem
weak vision,vision_problem
unsteady on my feet,vision_problem
panic,vision_problem
anxious,vision_problem
agoraphobic,vision_problem
disoriented,vision_problem
nausea,vision_problem
lack of coordination,vision_problem
can not sleep,vision_problem
impaired,vision_problem
in poor health,vision_problem
restless,vision_problem
under medication,vision_problem
not so good,vision_problem
run down,vision_problem
I still can not see,vision_problem
I'm still not feeling well,vision_problem
getting worse,vision_problem
Feeling great,seeing_clearly
doing well,seeing_clearly
doing great,seeing_clearly
I am fine,seeing_clearly
healthy,seeing_clearly
in good shape,seeing_clearly
strong,seeing_clearly
perfect,seeing_clearly
good,seeing_clearly
goodbye,goodbye
bye,goodbye
see you later,goodbye
I will be back,goodbye
have a nice day,goodbye
see you,goodbye
see you soon,goodbye
adios,goodbye
bye-bye,goodbye
hasta la vista,goodbye
I can not see when reading,can_not_see_close_up
I can not see when working close,can_not_see_close_up
Computer vision problems,can_not_see_close_up
I am loosing my vision,can_not_see_close_up
Loosing my place,can_not_see_close_up